Game_Code,Drive_Num,Offense,Start_Qrt,Start_Time,Start_Spot,Start_Reason,Stop_Qrt,Stop_Time,Stop_Spot,Stop_Reason,Plays,Yards,Time_Of_Pos,Red_Zone_Att,Summary_Produced
660433,1,66,1,900,81,0,1,772,62,0,4,21,128,0,1
660433,2,433,1,900,82,0,0,0,47,0,0,0,0,0,0
660433,3,66,1,772,89,0,1,642,56,0,5,25,130,0,1
660433,4,433,1,900,74,0,0,0,74,INTERCEPTION,0,0,0,0,0
660433,5,66,1,642,59,0,1,460,3,INTERCEPTION,7,33,182,1,1
660433,6,433,1,900,80,0,0,0,30,OFF_TOUCHDOWN,0,0,0,0,0
660433,7,66,1,460,73,0,0,0,69,0,0,0,0,0,0
660433,8,66,2,900,65,0,2,893,62,INTERCEPTION,1,0,7,0,1
660433,9,433,2,900,40,0,0,0,24,INTERCEPTION,0,0,0,0,0
660433,10,66,2,453,73,0,2,263,1,0,6,51,190,1,1
660433,11,433,2,900,75,0,0,0,40,0,0,0,0,0,0
660433,12,66,2,263,99,0,2,237,97,INTERCEPTION,2,2,26,0,1
660433,13,433,2,900,18,0,0,0,20,INTERCEPTION,0,0,0,1,0
660433,14,66,2,49,80,0,2,-37,61,0,5,11,86,0,1
660433,15,433,2,900,97,0,0,0,77,0,0,0,0,0,0
660433,16,66,2,863,93,0,2,794,93,0,4,16,69,0,1
660433,17,433,3,900,75,0,0,0,18,0,0,0,0,1,0
660433,18,66,3,794,80,0,3,478,42,0,12,65,316,0,1
660433,19,433,3,900,82,0,0,0,78,0,0,0,0,0,0
660433,20,66,3,478,68,0,3,384,23,0,5,35,94,0,1
660433,21,433,3,900,75,0,0,0,76,0,0,0,0,0,0
660433,22,433,4,900,66,0,0,0,14,OFF_TOUCHDOWN,0,0,0,1,0
660433,23,66,4,384,84,0,4,339,80,INTERCEPTION,2,2,45,0,1
660433,24,433,4,900,40,0,0,0,31,OFF_TOUCHDOWN,0,0,0,0,0
660433,25,66,4,339,84,0,4,285,42,0,3,7,54,0,1
660433,26,433,4,900,76,0,0,0,76,OFF_TOUCHDOWN,0,0,0,0,0
660433,27,66,4,285,73,0,4,72,8,OFF_TOUCHDOWN,6,20,213,1,1
660433,28,433,4,900,40,0,0,0,19,OFF_TOUCHDOWN,0,0,0,1,0
660433,29,66,4,72,72,0,4,14,68,0,6,16,58,0,1
