eastern-wash,207,Eastern Washington
sam-houston-st,624,Sam Houston State
georgia-st,254,Georgia State
abilene-christian,2,Abilene Christian
arizona-st,28,Arizona State
weber-st,758,Weber State
ole-miss,433,Ole Miss
boise-st,66,Boise State
new-mexico-st,472,New Mexico State
cal-poly,90,Cal Poly
minnesota,428,Minnesota
eastern-ill,201,Eastern Illinois
utah,732,Utah
idaho-st,294,Idaho State
la-monroe,498,Louisiana-Monroe
wake-forest,749,Wake Forest
washington-st,754,Washington State
rutgers,587,Rutgers
south-carolina,648,South Carolina
texas-am,697,Texas A&M
vanderbilt,736,Vanderbilt
temple,690,Temple
tulsa,719,Tulsa
tulane,718,Tulane
arizona,29,Arizona
unlv,465,UNLV
western-ky,772,Western Kentucky
bowling-green,71,Bowling Green
uconn,164,Connecticut
byu,77,BYU
colorado,157,Colorado
colorado-st,156,Colorado State
houston,288,Houston
utsa,706,UTSA
michigan-st,416,Michigan State
jacksonville-st,315,Jacksonville State
syracuse,688,Syracuse
villanova,739,Villanova
iowa-st,311,Iowa State
north-dakota-st,493,North Dakota State
notre-dame,513,Notre Dame
rice,574,Rice
alabama,8,Alabama
west-virginia,768,West Virginia
michigan,418,Michigan
appalachian-st,27,Appalachian State
auburn,37,Auburn
arkansas,31,Arkansas
massachusetts,400,Massachusetts
boston-college,67,Boston College
northwestern,509,Northwestern
california,107,California
texas-tech,700,Texas Tech
central-ark,1004,Central Arkansas
georgia,257,Georgia
clemson,147,Clemson
pittsburgh,545,Pittsburgh
delaware,180,Delaware
duke,193,Duke
elon,1068,Elon
nebraska,463,Nebraska
fla-atlantic,229,Florida Atlantic
oklahoma-st,521,Oklahoma State
florida-st,234,Florida State
southern-california,657,USC
fresno-st,96,Fresno State
north-carolina-st,490,North Carolina State
ga-southern,253,Georgia Southern
georgia-tech,255,Georgia Tech
wofford,2915,Wofford
hawaii,277,Hawai'i
washington,756,Washington
illinois,301,Illinois
youngstown-st,817,Youngstown State
indiana,306,Indiana
indiana-st,305,Indiana State
iowa,312,Iowa
uni,504,Northern Iowa
maryland,392,Maryland
james-madison,317,James Madison
kentucky,334,Kentucky
ut-martin,695,Tennessee-Martin
north-carolina,457,North Carolina
liberty,355,Liberty
lsu,365,LSU
wisconsin,796,Wisconsin
mississippi-st,430,Mississippi State
southern-miss,664,Southern Mississippi
missouri,434,Missouri
south-dakota-st,649,South Dakota State
wyoming,811,Wyoming
montana,441,Montana
navy,726,Navy
ohio-st,518,Ohio State
oregon,529,Oregon
south-dakota,650,South Dakota
oregon-st,528,Oregon State
portland-st,550,Portland State
ucf,128,UCF
penn-st,539,Penn State
purdue,559,Purdue
western-mich,774,Western Michigan
tcu,698,TCU
samford,625,Samford
stanford,674,Stanford
uc-davis,108,UC Davis
virginia,746,Virginia
ucla,110,UCLA
virginia-tech,742,Virginia Tech
william-mary,786,William & Mary
nc-at,488,North Carolina A&T
alabama-am,6,Alabama A&M
baylor,51,Baylor
smu,663,SMU
tennessee,694,Tennessee
utah-st,731,Utah State
louisville,367,Louisville
miami-fl,415,Miami (Florida)
nevada,466,Nevada
air-force,721,Air Force
akron,5,Akron
new-mexico,473,New Mexico
nicholls-st,483,Nicholls State
arkansas-st,30,Arkansas State
army,725,Army
buffalo,86,Buffalo
san-jose-st,630,San Jose State
ball-st,47,Ball State
northwestern-st,508,Northwestern State
texas,703,Texas
sacramento-st,102,Sacramento State
central-mich,129,Central Michigan
citadel,141,Citadel
south-carolina-st,647,South Carolina State
stony-brook,683,Stony Brook
troy,716,Troy
east-carolina,196,East Carolina
florida,235,Florida
eastern-mich,204,Eastern Michigan
florida-am,228,Florida A&M
gardner-webb,1092,Gardner-Webb
howard,290,Howard
kansas-st,327,Kansas State
kansas,328,Kansas
southeast-mo-st,654,Southeast Missouri State
ohio,519,Ohio
lamar,346,Lamar
south-fla,651,South Florida
mcneese-st,402,McNeese State
memphis,404,Memphis
middle-tenn,419,Middle Tennessee
uab,9,UAB
toledo,709,Toledo
missouri-st,669,Missouri State
san-diego-st,626,San Diego State
old-dominion,523,Old Dominion
north-texas,497,North Texas
northern-ill,503,Northern Illinois
oklahoma,522,Oklahoma
richmond,575,Richmond
utep,704,UTEP
towson,711,Towson
louisiana-tech,366,Louisiana Tech
cincinnati,140,Cincinnati
fiu,231,Florida International
kent-st,331,Kent State
la-lafayette,671,Louisiana-Lafayette
marshall,388,Marshall
miami-oh,414,Miami (Ohio)
south-ala,646,South Alabama
texas-st,670,Texas State
alabama-st,7,Alabama St.
ark-pine-bluff,2678,Arkansas-Pine Bluff
maine,380,Maine
presbyterian,1320,Presbyterian
western-ill,771,Western Illinois
southern-ill,659,Southern Illinois
idaho,295,Idaho
yale,813,Yale
